Ativo_ID,Data,Valor
14,2025-08-12,10807.53
14,2025-08-22,10964.14
14,2025-08-29,10899.68
14,2025-09-09,10949.62
14,2025-09-19,11006.98
14,2025-10-01,11064.64
14,2025-10-25,11188.17
14,2025-10-31,11224.26
14,2025-11-10,11268.86
14,2025-11-21,11327.86
14,2025-11-28,11364.91
14,2025-12-12,11439.38
14,2025-12-19,11476.79
14,2026-01-01,11536.91
14,2026-01-24,11650.49
14,2026-01-30,11688.6
14,2026-02-16,11765.18
14,2026-02-27,11826.81
14,2026-03-09,11873.25
14,2026-03-20,11943.12
14,2026-03-31,11996.98
14,2026-04-17,12089.89
14,2026-05-01,12152.22
14,2026-05-13,12213.88
14,2026-05-30,12306.95
14,2026-06-09,12353.75
14,2026-06-16,12392.88
15,2025-08-22,6924.63
15,2025-08-29,6945.97
15,2025-09-09,6976.66
15,2025-09-19,7011.89
15,2025-10-01,7047.31
15,2025-10-25,7123.16
15,2025-10-31,7145.62
15,2025-11-10,7172.67
15,2025-11-21,7208.9
15,2025-11-28,7231.63
15,2025-12-12,7277.32
15,2025-12-19,7300.27
15,2026-01-01,7337.14
15,2026-01-24,7406.77
15,2026-01-30,7430.13
15,2026-02-16,7477.07
15,2026-02-27,7514.83
15,2026-03-09,7543.28
15,2026-03-20,7586.09
15,2026-03-31,7619.14
15,2026-04-17,7676.14
15,2026-05-01,7714.38
15,2026-05-13,7752.27
15,2026-05-30,7809.45
15,2026-06-09,7838.2
15,2026-06-16,7862.24
16,2025-05-19,10626.24
16,2025-05-27,10681.62
16,2025-06-01,10698.3
16,2025-06-07,10728.18
16,2025-06-13,10749.56
16,2025-06-20,10770.61
16,2025-06-27,10795.77
16,2025-07-01,10806.28
16,2025-07-12,10852.07
16,2025-07-17,10877.31
16,2025-07-28,10919.55
16,2025-08-01,10943.71
16,2025-08-12,10976.59
16,2025-08-22,11012.02
16,2025-08-29,11030.18
16,2025-09-09,11056.01
16,2025-09-19,11102.85
16,2025-10-01,11158.52
16,2025-10-25,11262.25
16,2025-10-31,11286.28
16,2025-11-10,11317.77
16,2025-11-21,11354.1
16,2025-11-28,11382.06
16,2025-12-12,11437.11
16,2025-12-19,11470.25
16,2026-01-01,11519.58
16,2026-01-24,11615.88
16,2026-01-30,11647.06
16,2026-02-16,11711.65
16,2026-02-27,11770.58
16,2026-03-09,11834.39
16,2026-03-20,11908.39
16,2026-03-31,11978.96
16,2026-04-17,12105.25
16,2026-05-01,12176.04
16,2026-05-13,12247.39
16,2026-05-30,12344.71
16,2026-06-09,12392.62
16,2026-06-16,12441.41
17,2025-04-19,2050.11
17,2025-04-28,2056.44
17,2025-05-01,2058.97
17,2025-05-10,2066.6
17,2025-05-19,2074.25
17,2025-05-27,2081.94
17,2025-06-01,2085.79
17,2025-06-07,2092.23
17,2025-06-13,2098.68
17,2025-06-20,2103.86
17,2025-06-27,2110.36
17,2025-07-01,2112.96
17,2025-07-12,2123.4
17,2025-07-17,2128.64
17,2025-07-28,2137.84
17,2025-08-01,2143.12
17,2025-08-12,2152.39
17,2025-08-22,2163.02
17,2025-08-29,2169.7
17,2025-09-09,2179.08
17,2025-09-19,2189.85
17,2025-10-01,2200.67
17,2025-10-25,2223.84
17,2025-10-31,2230.71
17,2025-11-10,2238.97
17,2025-11-21,2250.08
17,2025-11-28,2256.98
17,2025-12-12,2270.63
17,2025-12-19,2277.94
17,2026-01-01,2289.2
17,2026-01-24,2310.46
17,2026-01-30,2317.59
17,2026-02-16,2331.91
17,2026-02-27,2343.44
17,2026-03-09,2352.12
17,2026-03-20,2365.2
17,2026-03-31,2375.42
17,2026-04-17,2393.05
17,2026-05-01,2404.88
17,2026-05-13,2416.77
17,2026-05-30,2434.7
17,2026-06-09,2443.72
17,2026-06-16,2451.26
18,2025-04-19,7563.47
18,2025-04-28,7586.81
18,2025-05-01,7596.16
18,2025-05-10,7624.3
18,2025-05-19,7625.54
18,2025-05-27,7680.62
18,2025-06-01,7695.11
18,2025-06-07,7718.85
18,2025-06-13,7742.67
18,2025-06-20,7761.78
18,2025-06-27,7785.73
18,2025-07-01,7795.34
18,2025-07-12,7833.86
18,2025-07-17,7853.19
18,2025-07-28,7887.14
18,2025-08-01,7908.61
18,2025-08-12,7940.79
18,2025-08-22,7980.03
18,2025-08-29,8004.66
18,2025-09-09,8039.26
18,2025-09-19,8079.0
18,2025-10-01,8118.92
18,2025-10-25,8204.42
18,2025-10-31,8229.74
18,2025-11-10,8260.23
18,2025-11-21,8301.05
18,2025-11-28,8326.67
18,2025-12-12,8378.14
18,2025-12-19,8403.99
18,2026-01-01,8445.53
18,2026-01-24,8523.96
18,2026-01-30,8550.26
18,2026-02-16,8603.11
18,2026-02-27,8645.63
18,2026-03-09,8677.66
18,2026-03-20,8725.92
18,2026-03-31,8763.64
18,2026-04-17,8828.69
18,2026-05-01,8872.32
18,2026-05-13,8916.17
18,2026-05-30,8982.35
18,2026-06-09,9015.53
18,2026-06-16,9043.11
19,2025-04-15,3372.82
19,2025-04-19,3377.48
19,2025-04-28,3389.21
19,2025-05-01,3393.4
19,2025-05-10,3406.12
19,2025-05-19,3418.86
19,2025-05-27,3431.45
19,2025-06-01,3437.07
19,2025-06-07,3446.54
19,2025-06-13,3454.29
19,2025-06-20,3461.4
19,2025-06-27,3470.22
19,2025-07-01,3473.6
19,2025-07-12,3488.06
19,2025-07-17,3495.18
19,2025-07-28,3507.29
19,2025-08-01,3515.05
19,2025-08-12,3526.99
19,2025-08-22,3541.38
19,2025-08-29,3549.41
19,2025-09-09,3557.86
19,2025-09-19,3568.1
19,2025-10-01,3581.46
19,2025-10-25,3620.04
19,2025-10-31,3628.25
19,2025-11-10,3638.45
19,2025-11-21,3650.21
19,2025-11-28,3658.61
19,2025-12-12,3676.21
19,2025-12-19,3685.08
19,2026-01-01,3700.56
19,2026-01-24,3731.75
19,2026-01-30,3742.12
